meter_number,household_name,address,purchase_date,purchase_time,kwh_purchased,amount_paid,supplier,meter_type
SSAM-A001,Thomas Makgatho,Block A House 1 Soweto,2/5/2025,9:23:45,150,R408.00,City Power,smart
SSAM-A002,Nomsa Dlamini,Block A House 2 Soweto,2/8/2024,14:32:10,120,R326.40,City Power,smart
SSAM-A003,John Mbeki,Block A House 3 Soweto,2/1/2024,8:15:22,200,R544.00,City Power,smart
SSAM-A004,Lerato Nkosi,Block A House 4 Soweto,2/9/2024,15:45:30,175,R476.00,City Power,smart
SSAM-A005,Sipho Gumede,Block A House 5 Soweto,2/12/2024,11:20:15,130,R353.60,City Power,smart
SSAM-A006,Maria Rodriguez,Block A House 6 Soweto,2/5/2025,10:45:22,140,R380.80,City Power,smart
SSAM-A007,David Khumalo,Block A House 7 Soweto,14/5/2024,16:30:45,160,R435.20,City Power,smart
SSAM-A008,Alice Molefe,Block A House 8 Soweto,2/3/2024,9:10:33,190,R516.80,City Power,smart
SSAM-A009,Robert Naidoo,Block A House 9 Soweto,2/11/2024,13:55:47,135,R367.20,City Power,smart
SSAM-A010,Elizabeth Shabangu,Block A House 10 Soweto,2/7/2024,14:20:10,145,R394.40,City Power,smart
SSAM-A011,Michael Ntuli,Block A House 11 Soweto,2/15/2024,8:45:30,165,R448.80,City Power,smart
SSAM-A012,Zanele Mkhize,Block A House 12 Soweto,2/2/2024,16:10:22,155,R421.60,City Power,smart
SSAM-A013,Patrick Buthelezi,Block A House 13 Soweto,2/10/2024,11:35:45,180,R489.60,City Power,smart
SSAM-A014,Rachel Naidoo,Block A House 14 Soweto,2/4/2025,9:50:15,170,R462.40,City Power,smart
SSAM-A015,Samuel Moyo,Block A House 15 Soweto,2/13/2024,14:25:33,125,R340.00,City Power,smart
SSAM-B001,Daniel Molefe,Block B House 1 Soweto,2/10/2024,16:45:30,180,R489.60,City Power,smart
SSAM-B002,Patricia Mokoena,Block B House 2 Soweto,2/3/2024,10:22:18,130,R353.60,City Power,smart
SSAM-B003,Samuel Tshabalala,Block B House 3 Soweto,2/15/2024,11:30:42,0,R0.00,City Power,smart
